city_id,monitor_id,compare,year,month,pm25
4115,2054A,0,2010.0,1.0,0.48818898
4115,2054A,0,2010.0,2.0,0.7007874
4115,2054A,0,2010.0,3.0,0.68503934
4115,2054A,0,2010.0,4.0,0.6496063
4115,2054A,0,2010.0,5.0,0.746063
4115,2054A,0,2010.0,6.0,1.0
4115,2054A,0,2010.0,7.0,1.0
4115,2054A,0,2010.0,8.0,0.65944886
4115,2054A,0,2010.0,9.0,0.8661417
4115,2054A,0,2010.0,10.0,0.87007874
4115,2054A,0,2010.0,11.0,0.4055118
4115,2054A,0,2010.0,12.0,0.35433072
4115,2054A,0,2011.0,1.0,0.8326772
4115,2054A,0,2011.0,2.0,0.8976378
4115,2054A,0,2011.0,3.0,0.70866144
4115,2054A,0,2011.0,4.0,0.71259844
4115,2054A,0,2011.0,5.0,0.78740156
4115,2054A,0,2011.0,6.0,1.0
4115,2054A,0,2011.0,7.0,0.8031496
4115,2054A,0,2011.0,8.0,0.71653545
4115,2054A,0,2011.0,9.0,0.5059055
4115,2054A,0,2011.0,10.0,0.44094488
4115,2054A,0,2011.0,11.0,0.62007874
4115,2054A,0,2011.0,12.0,0.18503937
4115,2054A,0,2012.0,1.0,0.39370078
4115,2054A,0,2012.0,2.0,0.95669293
4115,2054A,0,2012.0,3.0,0.5925197
4115,2054A,0,2012.0,4.0,0.69685036
4115,2054A,0,2012.0,5.0,0.6968504
4115,2054A,0,2012.0,6.0,0.73031497
4115,2054A,0,2012.0,7.0,0.68110234
4115,2054A,0,2012.0,8.0,1.0
4115,2054A,0,2012.0,9.0,0.5059055
4115,2054A,0,2012.0,10.0,0.8464567
4115,2054A,0,2012.0,11.0,0.4330709
4115,2054A,0,2012.0,12.0,0.9094488
4115,2054A,0,2013.0,1.0,0.8602362
4115,2054A,0,2013.0,2.0,0.63385826
4115,2054A,0,2013.0,3.0,0.64173234
4115,2054A,0,2013.0,4.0,0.72637796
4115,2054A,0,2013.0,5.0,0.44291338
4115,2054A,0,2013.0,6.0,0.62204725
4115,2054A,0,2013.0,7.0,0.25
4115,2054A,0,2013.0,8.0,0.47440943
4115,2054A,0,2013.0,9.0,0.49015749
4115,2054A,0,2013.0,10.0,0.8444882
4115,2054A,0,2013.0,11.0,0.47244093
4115,2054A,0,2013.0,12.0,0.5059055
4115,2054A,0,2014.0,1.0,0.5807087
4115,2054A,0,2014.0,2.0,0.61417323
4115,2054A,0,2014.0,3.0,0.5925197
4115,2054A,0,2014.0,4.0,0.70472443
4115,2054A,0,2014.0,5.0,0.5944882
4115,2054A,0,2014.0,6.0,1.0
4115,2054A,0,2014.0,7.0,0.7322835
4115,2054A,0,2014.0,8.0,0.56299216
4115,2054A,0,2014.0,9.0,0.5944882
4115,2054A,0,2014.0,10.0,0.5551181
4115,2054A,0,2014.0,11.0,0.31889763
4115,2054A,0,2014.0,12.0,0.36220473
4115,2054A,0,2015.0,1.0,0.56692916
4115,2054A,0,2015.0,2.0,0.69094485
4115,2054A,0,2015.0,3.0,0.78543305
4115,2054A,0,2015.0,4.0,0.5728346
4115,2054A,0,2015.0,5.0,0.7362205
4115,2054A,0,2015.0,6.0,0.81299216
4115,2054A,0,2015.0,7.0,1.0
4115,2054A,0,2015.0,8.0,0.5925197
4115,2054A,0,2015.0,9.0,0.8307087
4115,2054A,0,2015.0,10.0,0.37992126
4115,2054A,0,2015.0,11.0,0.2874016
4115,2054A,0,2015.0,12.0,0.36811024
4115,2054A,0,2016.0,1.0,0.2893701
4115,2054A,0,2016.0,2.0,0.29133856
4115,2054A,0,2016.0,3.0,0.78149605
4115,2054A,0,2016.0,4.0,0.59055114
4115,2054A,0,2016.0,5.0,0.5511811
4115,2054A,0,2016.0,6.0,0.71259844
4115,2054A,0,2016.0,7.0,0.253937
4115,2054A,0,2016.0,8.0,0.20669292
4115,2054A,0,2016.0,9.0,0.61220473
4115,2054A,0,2016.0,10.0,0.47834647
4115,2054A,0,2016.0,11.0,0.31102362
4115,2054A,0,2016.0,12.0,0.3011811
4115,2054A,0,2017.0,1.0,0.3602362
4115,2054A,0,2017.0,2.0,0.5495
4115,2054A,0,2017.0,3.0,0.5235
4115,2054A,0,2017.0,4.0,0.555
4115,2054A,0,2017.0,5.0,0.435
4115,2054A,0,2017.0,6.0,0.854
4115,2054A,0,2017.0,7.0,0.248
4115,2054A,0,2017.0,8.0,0.4075
4115,2054A,0,2017.0,9.0,0.2105
4115,2054A,0,2017.0,10.0,0.5235
4115,2054A,0,2017.0,11.0,0.4175
4115,2054A,0,2017.0,12.0,0.2615
4115,2064A,0,2010.0,1.0,0.44094488
4115,2064A,0,2010.0,2.0,0.5885827
4115,2064A,0,2010.0,3.0,0.5826772
4115,2064A,0,2010.0,4.0,0.68503934
