city_id,year,month,pre,tem_mean
1405,2010,1,0.30000000447034836,-1.7677419
1405,2010,2,13.999999821186066,1.1571429
1405,2010,3,3.4000000432133675,5.832258
1405,2010,4,37.49999886751175,11.196667
1405,2010,5,33.29999976605177,19.36129
1405,2010,6,50.59999914467335,23.233334
1405,2010,7,108.2000002861023,24.935484
1405,2010,8,118.89999864250422,23.235483
1405,2010,9,71.30000053346157,18.913334
1405,2010,10,16.500000454485416,12.7
1405,2010,11,2.0,6.476667
1405,2010,12,0.0,0.9419355
1405,2011,1,0.20000000298023224,-5.4225807
1405,2011,2,20.70000010728836,0.75714284
1405,2011,3,4.799999937415123,5.951613
1405,2011,4,15.299999475479126,14.7
1405,2011,5,46.59999990463257,18.948387
1405,2011,6,25.19999984651804,24.483334
1405,2011,7,154.10000459104776,24.625807
1405,2011,8,119.20000169426203,22.258064
1405,2011,9,217.4000008702278,16.73
1405,2011,10,54.59999978542328,12.587097
1405,2011,11,67.10000038146973,7.5
1405,2011,12,1.5,-0.41935483
1405,2012,1,3.999999977648258,-3.1032257
1405,2012,2,0.20000000298023224,-0.36896554
1405,2012,3,25.900000229477882,5.5741935
1405,2012,4,15.69999998062849,14.926666
1405,2012,5,11.000000298023224,20.04516
1405,2012,6,17.999999821186066,24.183332
1405,2012,7,128.8000004068017,25.329033
1405,2012,8,61.49999964237213,22.883871
1405,2012,9,45.499998703598976,17.76
1405,2012,10,11.799999751150608,13.441936
1405,2012,11,8.099999956786633,4.616667
1405,2012,12,4.000000014901161,-1.9709678
1405,2013,1,5.299999907612801,-1.6935483
1405,2013,2,13.199999958276749,1.8
1405,2013,3,4.100000075995922,8.574194
1405,2013,4,16.69999972730875,13.663333
1405,2013,5,97.89999869465828,20.264517
1405,2013,6,46.699999429285526,23.803333
1405,2013,7,438.9999934732914,25.280645
1405,2013,8,35.19999980926514,25.625807
1405,2013,9,57.89999909698963,20.036667
1405,2013,10,31.39999982714653,13.4
1405,2013,11,15.699999883770943,6.2233334
1405,2013,12,0.0,-0.28064516
1405,2014,1,0.30000001192092896,0.6
1405,2014,2,36.79999943077564,-0.21785715
1405,2014,3,4.300000138580799,9.7
1405,2014,4,67.79999840259552,14.31
1405,2014,5,36.800000198185444,19.819355
1405,2014,6,56.39999984949827,23.25
1405,2014,7,35.20000062137842,25.403225
1405,2014,8,128.70000103116035,22.319355
1405,2014,9,203.80000060796738,18.433332
1405,2014,10,6.800000049173832,13.938709
1405,2014,11,11.700000241398811,6.366667
1405,2014,12,0.0,-0.3903226
1405,2015,1,7.9000000059604645,0.1516129
1405,2015,2,5.600000083446503,2.3964286
1405,2015,3,12.299999929964542,8.158065
1405,2015,4,72.69999861717224,13.623333
1405,2015,5,49.80000055581331,19.032257
1405,2015,6,80.39999856054783,22.74
1405,2015,7,27.199999667704105,24.42258
1405,2015,8,78.20000161230564,23.203226
1405,2015,9,30.100000262260437,19.34
1405,2015,10,71.19999814033508,13.283871
1405,2015,11,58.19999960064888,5.4366665
1405,2015,12,0.0,0.683871
1405,2016,1,0.6000000014901161,-2.4419355
1405,2016,2,9.199999809265137,1.9517242
1405,2016,3,5.000000178813934,8.412903
1405,2016,4,48.50000058114529,15.45
1405,2016,5,47.19999980926514,18.012903
1405,2016,6,124.00000047683716,23.09
1405,2016,7,241.4999993816018,24.85484
1405,2016,8,46.799999959766865,24.71613
1405,2016,9,38.99999935925007,20.206667
1405,2016,10,83.79999893158674,13.419354
1405,2016,11,15.600000195205212,6.15
1405,2016,12,14.899999767541885,1.8548387
1405,2017,1,11.900000214576721,0.28387097
1405,2017,2,13.399999618530273,2.9
1405,2017,3,11.600000135600567,7.1741934
1405,2017,4,37.699999153614044,14.36
1405,2017,5,48.30000081658363,20.76129
1405,2017,6,65.89999985694885,22.803333
1405,2017,7,92.80000076442957,26.519354
1405,2017,8,104.00000208616257,24.654839
1405,2017,9,48.49999958276749,19.67
1405,2017,10,61.500000670552254,12.13871
1405,2017,11,0.4000000059604645,6.3233333
1405,2017,12,1.7000000476837158,0.37096775
1406,2010,1,0.6000000014901161,-8.748387
1406,2010,2,6.399999774992466,-3.5714285
1406,2010,3,15.700000323355198,0.78709674
1406,2010,4,20.400000013411045,6.5666666
