city_id,year,quarter,pre,tem_mean
1405,2010,1.0,17.69999986886978,1.76
1405,2010,2.0,121.39999777823687,17.946154
1405,2010,3.0,298.3999994620681,22.398912
1405,2010,4.0,18.500000454485416,6.708696
1405,2011,1.0,25.700000047683716,0.41777778
1405,2011,2.0,87.09999922662973,19.372528
1405,2011,3.0,490.7000071555376,21.253262
1405,2011,4.0,123.200000166893,6.5456524
1405,2012,1.0,30.100000210106373,0.7241758
1405,2012,2.0,44.70000009983778,19.721977
1405,2012,3.0,235.7999987527728,22.036957
1405,2012,4.0,23.899999722838402,5.370652
1405,2013,1.0,22.59999994188547,2.93
1405,2013,2.0,161.29999785125256,19.254946
1405,2013,3.0,532.0999923795462,23.686956
1405,2013,4.0,47.09999971091747,6.45
1405,2014,1.0,41.39999958127737,3.48
1405,2014,2.0,160.99999845027924,19.134066
1405,2014,3.0,367.70000226050615,22.091305
1405,2014,4.0,18.500000290572643,6.6413045
1405,2015,1.0,25.80000001937151,3.6077778
1405,2015,2.0,202.89999773353338,18.471428
1405,2015,3.0,135.50000154227018,22.354347
1405,2015,4.0,129.39999774098396,6.4793477
1405,2016,1.0,14.799999989569187,2.656044
1405,2016,2.0,219.70000086724758,18.841759
1405,2016,3.0,327.29999870061874,23.29239
1405,2016,4.0,114.29999889433384,7.152174
1405,2017,1.0,36.89999996870756,3.471111
1405,2017,2.0,151.89999982714653,19.324177
1405,2017,3.0,245.30000243335962,23.657608
1405,2017,4.0,63.600000724196434,6.277174
1406,2010,1.0,22.70000009983778,-3.8533332
1406,2010,2.0,68.60000065714121,15.025274
1406,2010,3.0,298.1000016480684,20.379349
1406,2010,4.0,20.99999987334013,1.0076087
1406,2011,1.0,12.000000104308128,-5.9466667
1406,2011,2.0,129.70000088959932,15.246154
1406,2011,3.0,186.2000015079975,18.926086
1406,2011,4.0,46.80000016093254,0.7565217
1406,2012,1.0,8.200000070035458,-5.958242
1406,2012,2.0,152.50000052154064,16.541758
1406,2012,3.0,282.50000032037497,18.875
1406,2012,4.0,21.299999587237835,-1.625
1406,2013,1.0,2.0,-2.5266666
1406,2013,2.0,157.89999923110008,16.44176
1406,2013,3.0,351.90000246465206,19.56413
1406,2013,4.0,19.199999824166298,0.23260869
1406,2014,1.0,6.80000002682209,-2.4655557
1406,2014,2.0,113.29999931156635,16.264835
1406,2014,3.0,242.39999955892563,18.881521
1406,2014,4.0,18.300000108778477,0.42717388
1406,2015,1.0,5.599999882280827,-2.8344445
1406,2015,2.0,107.09999911487103,15.615385
1406,2015,3.0,193.0999997034669,19.357609
1406,2015,4.0,77.89999839663506,1.3836956
1406,2016,1.0,13.300000339746475,-5.054945
1406,2016,2.0,72.8999989554286,16.353846
1406,2016,3.0,340.70000426471233,20.023912
1406,2016,4.0,85.69999983906746,1.8532609
1406,2017,1.0,18.100000239908695,-3.258889
1406,2017,2.0,89.8999999165535,16.468132
1406,2017,3.0,363.5999985486269,20.279348
1406,2017,4.0,92.10000072419643,-0.22391309
1407,2010,1.0,16.40000009536743,0.18777777
1407,2010,2.0,58.40000023692846,17.87143
1407,2010,3.0,282.09999979287386,22.493479
1407,2010,4.0,19.69999986886978,4.5869565
1407,2011,1.0,9.899999976158142,-1.2277777
1407,2011,2.0,80.50000043958426,18.523077
1407,2011,3.0,324.20000091940165,21.038044
1407,2011,4.0,81.99999926239252,4.683696
1407,2012,1.0,10.100000023841858,-0.9087912
1407,2012,2.0,85.6000002771616,19.484615
1407,2012,3.0,306.4999992400408,21.390217
1407,2012,4.0,25.599999740719795,2.7858696
1407,2013,1.0,3.8000000715255737,0.73777777
1407,2013,2.0,137.09999890625477,18.415384
1407,2013,3.0,325.700003542006,21.61413
1407,2013,4.0,20.700000137090683,3.980435
1407,2014,1.0,28.000000178813934,0.9433333
1407,2014,2.0,137.2000008225441,18.548351
1407,2014,3.0,247.99999945610762,20.659782
1407,2014,4.0,15.499999932944775,3.7456522
1407,2015,1.0,17.400000035762787,1.1411111
1407,2015,2.0,76.4999999627471,18.392307
1407,2015,3.0,240.19999916106462,21.45326
1407,2015,4.0,69.49999958276749,4.4206524
1407,2016,1.0,10.300000011920929,-0.31758243
1407,2016,2.0,138.30000039935112,18.362637
1407,2016,3.0,302.4000004529953,21.92826
1407,2016,4.0,77.40000080317259,4.8565216
1407,2017,1.0,16.90000033378601,1.1555556
1407,2017,2.0,81.3999989181757,18.815384
1407,2017,3.0,269.49999683350325,22.45
1407,2017,4.0,153.40000107884407,3.5423913
1408,2010,1.0,11.599999994039536,3.62
1408,2010,2.0,93.79999978095293,20.726374
1408,2010,3.0,389.59999986737967,24.970652
1408,2010,4.0,35.40000008046627,7.448913
